epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.0642,0.79726,3.39077,0.98334,0.00333,1,0.5204,0.4802,0.39497,3.16165,0.86592,0.0001,0.0001,0.0001
2,34.099,0.66941,2.14437,0.88688,1,0.61023,0.97917,0.86188,0.44377,2.44122,0.82521,0.000215644,0.000215644,0.000215644
3,50.228,0.64355,1.45907,0.86765,1,0.78683,0.995,0.83661,0.58359,2.50644,0.83433,0.000326536,0.000326536,0.000326536
4,66.2778,0.64559,1.4278,0.86764,0.00857,1,0.995,0.87347,0.50672,2.69331,0.82873,0.000432676,0.000432676,0.000432676
5,82.3267,0.61205,1.22454,0.86785,1,0.78192,0.995,0.87428,0.54697,2.46231,0.82842,0.000534064,0.000534064,0.000534064
6,98.4493,0.67053,1.2337,0.88736,1,0.34866,0.98921,0.84804,0.52486,2.62339,0.82932,0.0006307,0.0006307,0.0006307
7,115.268,0.58031,1.11808,0.85341,1,0.29787,0.99237,0.84919,0.56302,2.68272,0.85527,0.000722584,0.000722584,0.000722584
8,131.325,0.60266,1.12614,0.88013,1,0.65219,0.86196,0.71431,0.64842,2.59168,0.86425,0.000809716,0.000809716,0.000809716
9,147.354,0.6257,1.15239,0.88393,1,0.77411,0.92829,0.79619,0.59916,2.22349,0.86873,0.000892096,0.000892096,0.000892096
10,163.419,0.58835,1.02307,0.85775,0.99684,0.94444,0.94902,0.79411,0.61639,2.2359,0.86444,0.000969724,0.000969724,0.000969724
11,179.417,0.58058,1.00377,0.87233,1,0.93402,0.94557,0.81414,0.56643,2.1867,0.86484,0.0010426,0.0010426,0.0010426
12,195.432,0.60118,1.02456,0.87469,1,0.92702,0.94549,0.77586,0.61541,2.13119,0.87657,0.00111072,0.00111072,0.00111072
13,211.48,0.58722,1.00041,0.89082,0.93853,0.94444,0.96003,0.81585,0.59045,1.77073,0.87806,0.0011741,0.0011741,0.0011741
14,227.558,0.56996,0.96938,0.86196,0.9989,0.94444,0.94563,0.79035,0.66562,2.05799,0.90159,0.00123272,0.00123272,0.00123272
15,243.526,0.5659,0.91261,0.86144,1,0.93185,0.949,0.76471,0.66912,1.82223,0.91735,0.00128658,0.00128658,0.00128658
16,259.663,0.54416,0.98937,0.87229,0.99719,0.94444,0.99237,0.87221,0.57314,1.25055,0.91349,0.0013357,0.0013357,0.0013357
17,275.66,0.53434,0.83043,0.85575,1,0.99471,0.995,0.86185,0.56084,1.14417,0.88848,0.0013664,0.0013664,0.0013664
18,291.742,0.55524,0.90041,0.8468,0.99648,1,0.995,0.88074,0.48655,1.13347,0.8522,0.0013268,0.0013268,0.0013268
19,308.079,0.56696,0.8786,0.86722,0.99719,1,0.995,0.91623,0.48292,1.12266,0.851,0.0012872,0.0012872,0.0012872
20,324.143,0.59489,0.89349,0.85009,0.99704,1,0.995,0.91019,0.45699,0.95399,0.84889,0.0012476,0.0012476,0.0012476
21,340.31,0.57083,0.7743,0.86363,0.99642,1,0.995,0.88454,0.49686,0.89603,0.85959,0.001208,0.001208,0.001208
22,356.737,0.55351,0.78838,0.85453,0.99701,1,0.995,0.91784,0.4354,0.91993,0.8392,0.0011684,0.0011684,0.0011684
23,373.146,0.52173,0.80089,0.85028,0.99762,1,0.995,0.904,0.4257,0.94573,0.83714,0.0011288,0.0011288,0.0011288
24,389.756,0.50352,0.7955,0.84692,0.99697,1,0.995,0.88591,0.47406,0.93841,0.84729,0.0010892,0.0010892,0.0010892
25,405.789,0.51639,0.74644,0.84187,0.99673,1,0.995,0.8912,0.46906,0.84849,0.84265,0.0010496,0.0010496,0.0010496
26,421.91,0.53416,0.73606,0.85969,0.99588,1,0.995,0.88758,0.5058,0.78419,0.85792,0.00101,0.00101,0.00101
27,437.92,0.49891,0.69349,0.86457,0.99578,1,0.995,0.88157,0.51821,0.78991,0.8624,0.0009704,0.0009704,0.0009704
28,453.89,0.50047,0.68078,0.84898,0.99471,1,0.995,0.90468,0.45586,0.75593,0.84071,0.0009308,0.0009308,0.0009308
29,471.829,0.49652,0.68292,0.86012,0.99376,1,0.995,0.92332,0.44997,0.77234,0.84221,0.0008912,0.0008912,0.0008912
30,489.533,0.4791,0.60931,0.83491,0.99353,1,0.995,0.88625,0.49192,0.73631,0.85577,0.0008516,0.0008516,0.0008516
31,505.832,0.44345,0.63268,0.83532,0.99263,1,0.995,0.88774,0.48617,0.73372,0.85282,0.000812,0.000812,0.000812
32,522.336,0.45342,0.58592,0.8457,0.99503,1,0.995,0.90744,0.42033,0.69507,0.83116,0.0007724,0.0007724,0.0007724
33,539.68,0.43854,0.61396,0.82979,0.99587,1,0.995,0.90035,0.40503,0.68862,0.82571,0.0007328,0.0007328,0.0007328
34,557.341,0.45481,0.60543,0.83316,0.9967,1,0.995,0.9285,0.38491,0.65221,0.82377,0.0006932,0.0006932,0.0006932
35,576.934,0.45172,0.59836,0.83794,0.99662,1,0.995,0.91807,0.38189,0.61377,0.82457,0.0006536,0.0006536,0.0006536
36,597.139,0.39653,0.53615,0.82332,0.99645,1,0.995,0.93333,0.37181,0.58824,0.82399,0.000614,0.000614,0.000614
37,616.155,0.42499,0.57281,0.85459,0.99676,1,0.995,0.9202,0.35797,0.59671,0.8245,0.0005744,0.0005744,0.0005744
38,635.495,0.40577,0.5449,0.86027,0.99683,1,0.995,0.93742,0.32512,0.59176,0.81268,0.0005348,0.0005348,0.0005348
39,654.505,0.39293,0.52631,0.82353,0.99678,1,0.995,0.9294,0.33255,0.59702,0.81532,0.0004952,0.0004952,0.0004952
40,678.087,0.42006,0.52769,0.82837,0.99641,1,0.995,0.91679,0.36581,0.58709,0.82211,0.0004556,0.0004556,0.0004556
41,709.083,0.36235,0.68582,0.79232,0.99645,1,0.995,0.91693,0.3562,0.5939,0.82397,0.000416,0.000416,0.000416
42,728.674,0.38096,0.66103,0.80724,0.99651,1,0.995,0.94244,0.33148,0.63315,0.82225,0.0003764,0.0003764,0.0003764
43,748.453,0.35038,0.65378,0.8134,0.99673,1,0.995,0.93958,0.34669,0.65985,0.82105,0.0003368,0.0003368,0.0003368
44,767.407,0.34065,0.64718,0.78985,0.99687,1,0.995,0.93048,0.36996,0.63655,0.81841,0.0002972,0.0002972,0.0002972
45,786.794,0.33607,0.61682,0.74908,0.99707,1,0.995,0.93264,0.35391,0.61276,0.81346,0.0002576,0.0002576,0.0002576
46,806.408,0.3507,0.61506,0.82779,0.99726,1,0.995,0.95445,0.32211,0.59259,0.80873,0.000218,0.000218,0.000218
47,825.915,0.33604,0.58727,0.78824,0.99727,1,0.995,0.95488,0.3199,0.5941,0.80727,0.0001784,0.0001784,0.0001784
48,842.401,0.31776,0.55873,0.76598,0.99727,1,0.995,0.93674,0.33219,0.563,0.80784,0.0001388,0.0001388,0.0001388
49,858.883,0.31508,0.57856,0.79477,0.9973,1,0.995,0.93674,0.33895,0.55443,0.809,9.92e-05,9.92e-05,9.92e-05
50,875.672,0.31838,0.56168,0.80515,0.99726,1,0.995,0.93674,0.33809,0.54538,0.80857,5.96e-05,5.96e-05,5.96e-05
